Title,Release Date,Platform,Developer,Genre,Content
Space Invaders Infinity Gene Original,2009,Various,Taito,Shoot ’Em Up,"Space Invaders arrived early on the iPhone in a somewhat traditional cash-in incarnation. It wasn’t, however, worth getting back into that lone turret until it received the bespoke treatment. That appeared in the form of Space Invaders Infinity Gene, a pacy mash-up of Space Invaders Extreme and the wire-frame aesthetic of Rez, which combine to create a luminous free-wheeling shooter, wrapped up in a gloriously pretentious coating of deep-space bobbins about evolution and mutation. It starts simply enough, loading up with the original game’s iconic alien grid, before dissolving into a frantic static roar, flinging hundreds of new invaders against you as you plow through elaborately reimagined levels. Along the way, each victory levels you toward infinity, new power-ups, different shot types, and even unlockable extras as you race to the end. The tiny chittering aliens of the first game are joined by spectral cruisers and suicide bombers, then by vast armadas and flotillas of craft that march across the screen, all with their own unique attack to explore and exploit. Finally, given that the whole thing unfolds on an MP3 player, you can use your iPhone’s music catalog to generate one-off levels—an experiment that quickly becomes ridiculously addictive. Crucially, Space Invaders Infinity Gene controls like a charm, too, with firing handled automatically, while you steer your ship around with your finger. Your iPhone will end up smeary and in need of a good wipe down, but as you rocket through the leaderboard in what turns out to be an engagingly easy and satisfyingly spectacular game, even Apple’s most hardcore product fetishists probably won’t stop to notice too much."
Space Invaders Original,1978,Arcade,Taito,Shoot ’Em Up,"Everybody knows Space Invaders. Almost everybody’s played it too, struggling through wave after wave after deadening wave of planet Earth’s least imaginative attackers; firing at endless wobbling drones, who track back and forth, getting ever closer until mankind is reduced to a single turret, scurrying around the bottom of the screen, taking its last few careful potshots from behind the slowly disintegrating shield. If Pac-Man is about memory and Donkey Kong is all about story, then Space Invaders is fascinated with panic: the unshakable twitchiness that picks up as the last invaders evade your frantic shots; as the speed increases and the nasty little deep-space squids get lower and lower until you’re within touching distance of their mandibles. The game’s controls are simple to the point of being invisible, and the objective so direct that Space Invaders couldn’t help but be a classic. (It was so successful in Japan that the Ministry of Finance was forced to mint more of the 100-yen coins the arcade machine ate in such staggering quantities.) That said, Space Invaders does have a few subtleties in store—from the passing UFO that can give you a much-needed points boost (particularly if you’re using one of a handful of well-used methods to predict its arrival), to the matter of locating the best places to aim and fire as you keep ahead of the descending horde. Sparse and monochromatic, Space Invaders is one of those games whose appeal younger generations will struggle to understand. At the time of release, however, this was nothing less than a full-blown phenomenon. Clones, such as Galaga, would go on to break bold new ground of their own, but without Taito’s humble mega-hit, video game history would most probably be unrecognizable territory."
Space Station Silicon Valley Original,1998,"N64, PS1 ",DMA Design,Action / Platform,"What about if, instead of talking to the animals, you could just take them over? Space Station Silicon Valley’s setting is a facility in the year 3000, filled with robotic approximations of Earth creatures—mice with wheels, foxes with rocket packs strapped to their underbellies, and steam-powered hippos. And you’re a microchip that can control any of them—if they’ve been incapacitated. In essence it’s a robotic recreation of the battle between hunter and hunted, with the delightful twist that here, at the right moment, you can switch sides. This simple formula is the basis for a puzzling platformer that demonstrated the riotous imagination of DMA Design at its best. Gentle jumps might take you to one objective, a sheep’s coat puffing out to slow your descent, while in the next moment you’re roaring up a ramp and then arcing over a lake (it’s never a good idea for electronics to get wet, after all). You’ll be zigzagging in and out of teeth and claws, but soon returning with teeth and claws of your own to exact revenge. Working out what to do is often the entire challenge, before crashing rudely into the ecosystem and actually pulling it off under the bewildered whiskers of those around you. Leagues ahead of its time in concept, Space Station Silicon Valley suffers only from some basic failings in checkpoints and controls. For such a cuddly concept, it’s brutally tough at times, and you’ll be pursued throughout certain levels with the relentlessness only a mindless piece of programming can muster. But the bonkers, and genuinely amusing, plot helps keep your interest through even the worst of its excesses, alongside a quality you often don’t find in more widely acclaimed games: You just don’t know what lies around the next corner."
Speedball 2: Brutal Deluxe Original,1990,Amiga,The Bitmap Brothers,Sports / Action,"Less controversial for its subject matter than for its title, which is coincidentally the name of an illegal drug cocktail, Speedball was a collision of ice hockey, Australian rules football, and Rollerball, the fictional blood sport from the 1975 James Caan movie. Two heavily armored teams would literally fight over a steel ball, bouncing it off the walls of an enclosed field until someone tossed it into their opponents’ goal, often by hobbling the keeper. While the first game featured little else, most of its variety coming from half-time shop items, like bribing the officials, its sequel upped the game entirely. The year is 2105 and a new version of Speedball has risen from the ashes of the original, which has moved underground after descending into anarchy. The sport now occupies a gigantic colosseum hosting nine-person teams, with bumpers, rails, targets, and gates, like those of a pinball table. There’s even a kicker that electrifies the ball, making it untouchable to opposing players. A points-based scoring system means you can win without scoring a goal; high points are awarded for crippling players and forcing on substitutes. Into this arena steps the Brutal Deluxe, the worst team in history. Your team. A grandstanding effort from all concerned, notably pixel artist Dan Malone and sound designer Richard Joseph, Speedball 2 forges an identity lacked by its predecessor. Its action is louder, faster, and even more violent, yet disciplined thanks to the Amiga’s favored one-button control scheme. Matches move in unpredictable ways because of the different scoring methods, not to mention randomly placed coins that come in handy on the transfer market. Often described as one of the greatest multiplayer games ever, and not without reason."
Spelunky Original,2008,PC,Derek Yu,Action / Adventure,"Speaking at the 2009 Game Developers Conference in San Francisco, Derek Yu explained the importance of death in Spelunky, his freely distributed game that had drawn endless pleasure and hair-yanking frustration from thousands of admirers. Spelunky is a “Rogue-like”—a descendant of games like Rogue and Nethack—with which it shares two key characteristics: the map changes with every game, and once you die, it’s gone. While most RPGs let you save and restore your progress, in a Rogue-like, each adventure is unique and every life—and death—has meaning. Yu boiled it down to a slogan: “Death is fun.” In the introduction, an Indiana Jones-style explorer sets out for gold and treasure. Through level after level, he climbs and dashes through procedurally generated maps, fends off animals with his whip, dodges spikes and traps, and sometimes even saves a damsel in distress. Those with experience of 1989’s Rick Dangerous from original Tomb Raider studio Core Design will immediately feel a sense of familiarity with the character. For a roguelike, Spelunky is accessible: The graphics are cute (and owe a debt to La Mulana, the 2005 PC game from independent Japanese developer GR3 Project), and while some of the moves are initially awkward, the game’s difficulty makes you learn quickly. In no time you’re weighing the ever-greater risk and ever-more-tempting rewards on each map, putting up with capricious instakills while plowing ahead to more loot. Until Spelunky, Rogue-likes were a niche genre occupied by ASCII games or hardcore Japanese RPGs. While the game remains a cult hit, Yu has created new fans of the genre, and with an Xbox Live Arcade port in the works, its influence will just keep spreading."
Spider: The Secret of Bryce Manor Original,2009,iPhone,Tiger Style,Action,"Randy Smith, designer at Tiger Style, wrote in his column in video game magazine Edge about his team’s struggle with telling a “human” story in the context of a game about a spider. While the focus in Spider: The Secret of Bryce Manor rests on its titular hero and the arachnid’s quest for more and more bugs, the person in control becomes increasingly aware of the surroundings. We’re exploring an old house, with newspapers piled up at the door; hints of a sibling rivalry or a lost love are littered around the place, hidden behind the furniture and even down the drains. It’s down to the player to connect the dots and try to figure out what all these “clues” actually mean, but the spider doesn’t care. He’s just in it for the bugs. The game itself is relatively simple: The player uses the iPhone’s touch screen to create a series of webs. This is achieved by swiping the finger over the screen, which causes the spider to jump from surface to surface. As he moves he leaves behind strands of silk; a web appears where they intersect, catching any bugs that attempt a crossing. Nothing in the game can kill your spider, but hunger can drain your silk, so the challenge lies in catching the most insects with the fewest webs. This forces the player to invent creative solutions, as well as to explore the different rooms for secret hideaways—useful for both clues to the story as well as extra snacks. As Smith wrote, his team could have let the spider affect the human story that surrounds it in some way—to change the course of events, instead of digging them up after they had happened. But in the end, this isn’t a story about the Bryce family; it’s a story about a spider. And all that spiders can do after a tragedy is clutter the place up with a lot of cobwebs."
Spider-Man 2 Original,2004,Various,Treyarch,Action,"In January 2010, Activision Blizzard CEO Bobby Kotick went on record saying: “Our Spider-Man games have sucked for the last five years. They are bad games. They were poorly rated because they were bad games.” That’s not particularly true of Spider-Man 2, and does it a disservice, seeing that it certainly wasn’t bad and wasn’t so poorly rated. But to Kotick, who’s used to Guitar Hero and Call of Duty levels of critical and, more important, financial success, Spider-Man 2 was an also-ran. The game certainly captures more of the spirit of the web-slinger than its predecessor. Originally designed to be an open-world-style game, it makes some advances to Spider-Man’s web-slinging abilities by allowing players to grapple on to solid objects rather than simply shooting webs into the sky, which is what happened in the first title. In fact, for a game that predates massive free-roaming hits and runs on previous-generation hardware, Spider-Man 2’s approach to creating a realistic Big Apple is quite convincing, and succeeds in giving players a bird’s-eye view of the city that can be thrilling when you’re exploring it at speed and with purpose. The game’s movie origins would normally count as a limitation, but then the source itself was an adaptation. You’d expect a clunky, derivative plot, but Treyarch’s tale holds up well, with high-quality voice-acting from movie cast members Tobey Maguire, Kirsten Dunst, and Alfred Molina. It helps that the game doesn’t attempt to follow events of its source too closely—Mysterio, for example, does not appear in Sam Raimi’s film, but he turns up here as Spidey’s archenemy. Spider-Man 2 benefits from its looser approach, and is a much bigger success than the man who published it would have you believe."
Spindizzy Original,1986,Various,Paul Shirley,Action,"The 1984 coin-op Marble Madness inspired a short-lived craze for rolling-ball adventures, and this beautifully minimalist example is one of the finest—even if programmer Paul Shirley claims to have been more influenced by Ultimate’s isometric three-dimensional adventures, including the likes of Knight Lore and Alien 8, rather than Atari’s trackball favorite. As a trainee cartographer working for a galactic exploration firm, the player is thrown into space to map a newly discovered planet, Hangworld. The terrain is not encountered in person, though; a remote-controlled vehicle—GERALD—is instead sent in. What follows is a 386-screen isometric puzzler in which GERALD must be carefully navigated along narrow pathways, steep slopes and ramps, avoiding water hazards and long falls, and running across picture icons to open up new pathways. The controls are subject to inertia and momentum, making accurate navigation a tricky counterplay of acceleration and reverse movements. And, with a timer ticking down, speed and accuracy become paramount. The level design is ingenious, providing a range of spatial challenges, within the tight construct of an effectively figurative landscape that the player experiences one screen at a time. The addition of trampoline and lift spaces adds to the range of movements on offer, as does the ability of GERALD to switch between three physical states—pyramid, gyroscope, and ball—all of which handle slightly differently. The Spindizzy experience is ultimately more austere and cerebral than Marble Madness, and its witty scenario recognizes and renders explicit something important about the nature of adventure gaming: It is, in a sense, all about cartography."
Splatterhouse Original,1988,Arcade,Namco,Fighting,"Capturing all of the idiotic gore and nonsensical plotlines of the finest 1980s slasher flicks, Splatterhouse is the video game equivalent of renting Friday the 13th Part VI: tawdry, gruesome, but worryingly compelling. Rick and Jennifer are two students who find themselves in the remote mansion of mad Dr. West. Jennifer vanishes; Rick awakes in a dungeon wearing a mask that gives him extraordinary physical powers. Rick must rescue his girl by exploring the house and grounds, kicking, punching, and slashing all and sundry. The horror styling is applied with exuberant Grand Guignol excess: rotting bodies hang from walls, vomiting gore; flaccid skeletons slouch, impaled on spears; hideous mutants crawl across the screen . . . And you can always pick up a meat cleaver to decapitate troublesome incoming zombies. Like its movie inspirations, Splatterhouse was subject to moral hand-wringing when it transferred to the home entertainment market, and some elements were censored. But the plot retains its shocking sting in the tail, and, even watered down, it remains a horror favorite."
Spore Original,2008,Various,Maxis,Life Simulation / Strategy,"Developed by Maxis and designed by the Sims mastermind Will Wright, Spore promises the universe. Conceived in 2000 as SimEverything, it was duly described as everything from a “toy galaxy” to a “life simulator”—favoring comparisons with the SETI Project over anything seen in gaming. Unveiled in 2005, Spore’s thirty-plus prototypes simulated, among other things, gravity wells in cloud formations, forest fires, cell cultures on varying planets, and SSPSF (the process by which interstellar gas gives rise to stars). Evolution versus intelligent design? This game seemed like both. The catch? There is no game. As Chris Hacker of Maxis would explain: “There never was some other version of Spore that got changed at some point, only a growing number of technologies that solved problems.” Yet such was the difference between the promise of Spore and the reality, the game emerging years later as a kid-friendly pastiche of other games, that few knew what to make of it. Split into five sections—Cell, Creature, Tribal, Civilization, and Space—Spore follows life from its earliest days in a rock pool to its conquests of tribes, nations, and the stars. Each stage lets you customize your species in different ways, the results launched into an online “data cloud” so they can rain back down into other players’ games. So as you fight for survival in Creature and seek power in Civilization, everyone you meet is a product of this global “Sporepedia.” The challenges might be simple—often too simple for adult tastes—but this take on asynchronous multiplayer is Spore’s great breakthrough. Nevertheless, it’s hard not to wonder what the game could have been in a parallel universe, one where The Sims had exerted a little less gravity."
Spy Hunter Original,1983,Arcade,Midway,Action,"With its smart weapons, cool cars, and the persistent buzz generated by the slinky rendition of the Peter Gunn Theme pumping from the speakers, Spy Hunter was viewed as a very stylish game back in the arcades of the early 1980s. It was a title that played into any boy’s favorite fantasies—secret agents, nasty weaponry, and a driving license—and made the moment they started slotting in the coinage all but an inevitability. But make no mistake, it was the action as much at the perfectly poised presentation that kept those young punters coming back for more. In Spy Hunter, you play as a secret agent with a car that shoots bullets from the front grill, and you’re tasked with the admirably simple mission of tooling down an endless highway—conveniently, it’s a highway entirely without corners of any kind—fighting off a range of vehicular enemies, from stretch cars with machine-guns projecting from the sides, to buses with spikes in the wheels, and even the occasional helicopter, while upgrading your ride with smoke screens and oil slicks every now and then as you drive into the back of passing powerup vans. All of this was supercool, for sure, but Spy Hunter’s most magical moment comes when the game’s incomplete bridges force you to take your dream machine off-road—and it suddenly transforms itself into a boat by passing through a convenient shack, taking the land-based battle directly to the waves. Uniquely suited to the obsessions of the 1980s, with its slick mixture of espionage and cars, Spy Hunter is a delightful, if not expensive, memory, for everyone who played it. It is also the subject of a frankly ridiculous PS2 title built around a movie starring Dwayne Johnson, although that game, thankfully, sank without a trace."
Spy vs. Spy Original,1984,Various,First Star Software,Action / Strategy,"With this wonderfully devious multiplayer game from veteran designer Mike Reidel, the violent monochromatic nemeses made the transition from the ink-smeared pages of Mad magazine to 8-bit home computers. There’s never been anything else quite like it: a title that makes ample allowances for direct combat between its players, but truly relishes indirect battle also, as two rival spies move around the same suite of rooms, laying traps for each other while collecting the necessary documents and money needed to flee the country via a small airstrip. It’s a brisk tactical challenge as players choose whether to carry all the items they’ve collected on their person—and subsequently risk losing them all if they get killed—or opt instead to stash their supplies somewhere, and booby trap the spot, gambling that their enemy will get his comeuppance while searching for them. The traps themselves are lavishly comic affairs, with deadly buckets of water on doors, automatic guns tethered to furniture, plump anarchist bombs, and—best of all—a massive spring that, if deployed correctly, can propel the hapless victim through successive rooms. In a clever twist, each trap also has a weak spot that will allow a spy to sidestep the effects if they’re carrying the correct item, so half of the fun comes from keeping an eye on your rival’s screen and trying to remember which types of traps he has laid in store for you. Comic and sadistic, Spy vs. Spy makes perfect use of the source material. It’s a riotous, infuriatingly simple multiplayer classic that suggests a quirky direction that the genre has never really chosen to follow up. Remade rather elegantly for the Game Boy, there is also an Xbox update, but that is probably best avoided."
SSX Tricky Original,2001,Various,Electronic Arts,Sports,"Wintry counterparts to the mega-popular Tony Hawk’s Pro Skater series, the SSX snowboarding games were probably the best sports titles to come out of Electronic Arts during the PlayStation 2 generation. The varied stages of SSX Tricky, the sequel to the original, mark the height of the series’ esoteric wackiness. (The third volume—SSX3— would shift to the grander, more unified setting of one monstrous peak.) In SSX Tricky, though, every track is a distinct adventure, each more impossible than the last: the snow-capped buttes of Mesablanca, the urban powder of Merqury City, the gravity-immune melting glacier of Aloha Ice Jam, etc. These landscapes, riddled with shortcuts and surprises, are the main characters of the game. Of course, the actual characters aren’t bad, either. You choose your rider from a cast of eccentrics, ranging from a Japanese schoolgirl to a British street biker, and work your way to the top of the international racing circuit. Smooth controls make it a pleasure to carve your board around the steep turns of each racetrack, but the real joy happens in midair, where you execute the twists, grabs, and backflips that give SSX Tricky its name. In fact, the game’s Show-Off mode dispenses with the race premise altogether and simply rewards you for how many badass jumps you can pull off without face-planting in the snow. Hip-hop and techno backing tracks remix themselves on the fly to match your progress, so when you’re cranking out “Über Tricks,” the beats are pumping. This audio legerdemain feeds the sensation that every part of the game is moving in sync, from your thumbs to the last pixel on the screen. Motion-controls interfaces are all well and good, but a gimmicky joystick will have trouble matching the kinetic thrill of SSX Tricky."
Star Control 3 Original,1996,Various,Legend Entertainment,Strategy / Shoot ’Em Up,"Like any good interstellar battle, Star Control 3 faced insurmountable odds. Outgunned by the intensely loyal fan base of the first two games and created without any input from original developer Toys for Bob, it was clear from the outset that the project would require bold helming. Despite the aforementioned devotees citing several misgivings (most notably with the pseudo-3-D space battles and digitized Henson-esque puppets used during conversations), the game was a critical success and is the most fully realised Star Control title. Picking up roughly where the second game left off, you must lead an alliance in the fight against the Eternal Ones, a mysterious race who consume the energy of all sentient life every eon. To protect themselves from such a fate, the Precursors genetically modified themselves into six-legged cowlike creatures, but were trapped in this form when the robots they built to return them to their original form malfunctioned. Humans, in their quest to locate the legendary Precursors, have discovered this tasty beast and, unbeknown to them, are consuming their goal. The delirious plot belies a complex strategy game in which diplomacy is equally as important as maneuvering, with each new race you encounter a potential ally or enemy. But there are also real-time space battles, a brilliantly involving adventure game, and a colony management side-quest with which you can feed your war machine. The combination of so many different genres is usually a bad idea, but here they gel into a coherent whole that can consume many hours of your life. The Hyper Melee mode, meanwhile, provides an opportunity to hone piloting skills against the computer or a friend. While the confrontation clearly resulted in casualties, Star Control 3 is a worthy successor to its forebears."
Star Fox 64 Original,1997,N64,Nintendo,Shoot ’Em Up,"The original Star Fox (known as Starwing in the West) was a proof of a concept for Nintendo’s Super FX technology, a cartridge chip that allowed the aging SNES to throw around three-dimensional polygons in a way the machine’s original designers never dreamed. The N64 sequel, however, had even greater ambitions. It wanted to take a band of furry pilots and create a space opera. You can reel off influences, because the game isn’t shy of doing so itself. The final level’s a trench run straight from Star Wars, complete with a cheesy moment where Fox’s father returns, while Independence Day provides the visual inspiration for a quite brilliant mothership battle. The original may have suggested a wider universe than existed in its corridors, but Star Fox 64 goes there, moving from the bottom of the ocean to planets composed of lava, stopping off for dogfights in three-dimensional arenas and races through psychedelic wormholes. You’ll be chasing down a train in a tank one moment and engaged in a laser ballet with robotic monkeys the next. And of course it’s made by Nintendo, so the list of brilliant little touches goes on and on; The camaraderie with the rest of your team, moaning about maneuvers one minute and diving into the heart of danger to help one another the next. The Rumble Pak, making this the first console game ever to include force feedback, now an industry standard. The multiple paths through the game, dictated by your successes and failures. The bosses that taunt you relentlessly, the distended plasticine face of ultimate villain Andross, and General Pepper’s shocked “Whaaaaa?” when he received the bill for your services at the very end. Nintendo’s band of furry pilots and their remarkable space opera have a place in many hearts."
Star Trek: 25th Anniversary Original,1991,PC,Interplay,Action / Adventure,"Here’s a made up but patently true statistic: Eight out of ten Star Trek fans prefer the formularized soap of The Next Generation to Captain Kirk planting kisses and cardboard rocks on badly costumed aliens. Shame on them, really, and the hardware dominated video games they inspired—all first-person shooters and space combat sims. Not even 2009’s hormonally charged movie reboot has rekindled interest in the original series, leaving a pair of outdated point-and-click affairs, 25th Anniversary and Judgment Rites, as the finest Trek games to date. One of the first games released as a CD-ROM “talkie,” 25th Anniversary arrived at just the right time to feature the voices of William Shatner (Kirk), Leonard Nimoy (Spock), and the late DeForest Kelley (McCoy). Gaudier than even a Blu-ray version of the show’s velour jumpsuits, it’s hard to imagine a broader use of 256-color VGA graphics. Faithful from the start, it divides its time between the captain’s chair and away missions, even finding room for disposable cadets and their fateful red uniforms. Split into seven clearly defined episodes, it toyed with TV conventions long before Alone in the Dark. Celebrity voice-overs are often hit or miss affairs. The good: Ghostbusters, Heavenly Sword, and later the Grand Theft Auto franchise; the bad: Connery in From Russia With Love and Eliza Dushku in Wet; and the ugly: Henry Rollins in Mace Griffin: Bounty Hunter. But the crew of the Enterprise clearly relish their return to duty, restoring the chemistry the game can’t put on-screen. The script strikes just the right balance of jeopardy, comedy, and diplomatic hand wringing that makes up for an awkward interface. 25th Anniversary is a giddy delight for fans, not to mention anyone tired of gaming’s trend toward sobriety."
Star Wars Jedi Knight II: Jedi Outcast Original,2002,Various,Raven Software,Action / First-Person Shooter,"A run of Star Wars-themed games that failed to capture the kudos of the earlier Star Wars: Dark Forces games caused a rethink at George Lucas’s game studio. The new philosophy was simple: get the most respected developers in specific genres and hand them the keys to the Star Wars universe. Who would turn down the chance to make a Star Wars game? For first-person shooters, Raven had a well-established history of quality games going back to Heretic and Hexen, and more recently, with Star Trek Voyager: Elite Force. The Wisconsin-based studio also had experience with the latest, greatest game engine from John Carmack at id Software, so it used the Quake III Arena engine to power the hugely anticipated sequel to Jedi Knight. Picking up the story after the conclusion of the Mysteries of the Sith expansion pack for Star Wars Jedi Knight II: Dark Forces, it once again focuses on the adventures of Kyle Katarn, who has ditched the Force. He’s quickly back on track after he believes his friend and sidekick, Jan Ors, to have been killed by the Dark Jedi Desann. It’s a handy method of reintroducing the process of earning your lightsaber and powering up a choice of Force powers that many players will have already experienced. The new engine coupled with Raven’s experience from prior projects allowed the team to introduce fresh elements to the series, such as having characters occasionally fight alongside Katarn. It also powered flashy new special effects, adding more sizzle to the Force powers, as Katarn visits locations such as Cloud City—the home of Lando Calrissian, who we also meet in this game. Raven lived up to its billing as a leading FPS developer, crafting an experience that fits capably alongside the other highly regarded games in the series."
Star Wars Jedi Knight: Dark Forces II Original,1997,PC,LucasArts,First-Person Shooter,"Imagine the pressure. The original Dark Forces successfully coats a Doom-like first-person shooter with the veneer of the Star Wars universe, it delights gamers, sells well, and a sequel goes straight into production. The anticipation for the next installment of Kyle Katarn’s adventures was through the roof, and LucasArts delivered a stunning shooter experience that integrated role-playing style, Jedi power progression, and story choices into a more traditional run-and-gun action product. And it introduced lightsabers. Oh, yes, the lightsabers. Building a system that would fluidly switch to a third-person perspective when Katarn draws out the big stick proved to be a significant technical hurdle that was executed perfectly. Katarn’s story as a former Imperial officer turned mercenary takes a huge leap forward when he uncovers the Force. Now he can learn new Force powers and choose whether to follow the Light or Dark path on a quest to find his father’s murderer. It’s a gripping progression that invests the player with an important role in this post-Return of the Jedi storyline. Even after the single-player plotline is exhausted, it’s easy to replay, choosing different Jedi powers and experiencing the story from the other side. Then you can take those skills online in a multiplayer mode that pits Light against Dark Jedis in classic four-player match-ups. This package set a new ambition bar not just for all future Star Wars games, but for first-person shooters in general. As three-dimensional graphics cards were gaining a foothold, this game was one very good reason to join the revolution, if you hadn’t already. For fans of the series, all it takes is for that famous score to start playing, and the chills run down their spines."
Star Wars Original,1983,Arcade,Atari,Shoot ’Em Up,"One of the first in an endless series of tie-ins to the Star Wars franchise, this particular version focuses on the final spectacular sequence of the original movie (or Star Wars: A New Hope, if you’re a more recent fan): the destruction of the Death Star. With vector graphics nailing the contours of the ships and landscapes, Star Wars leads you through three stages of the movie’s final battle: shooting down TIE fighters on your approach; skimming along the surface of the Death Star, while turrets and more TIE fighters gun for you; and finally, racing down the trench to shoot a target about as big as a womp rat. Instead of ducking lasers, you dodge slow-moving fire bursts, and you can choose between fending off the missiles or going after their source. And instead of lives, you get a shield that’s worn down every time you’re hit, which lets you keep flying to the bitter end, without interruption. And after you make your shot and blow up the Death Star, you get to do it again and again and again. Though it was by no means the first Star Wars video game—that honor goes to the VCS/Intellivision title Star Wars: The Empire Strikes Back—it remains a fan favorite. The controller looks and feels like the one we saw in Luke Skywalker’s cockpit, and the Death Star does explode vividly before our eyes. In fact, it was the perfect way to relive the film for a generation of kids who were as hooked on Star Wars as they were on, well, arcade games. Nowadays, movie tie-in video games are more often than not a terrible dog’s breakfast of scenes from the film and made-up activities, all shoehorned into a mediocre package. Star Wars chose the best piece of the movie and nailed it, and it delivers a finale that’s as exciting now as it was for its time."
Star Wars Rogue Squadron II: Rogue Leader Original,2001,GameCube,Factor 5,Shoot ’Em Up,"It’s a measure of the brilliance of Factor 5’s Star Wars Rogue Squadron II: Rogue Leader that it starts where most other games would reach their climax—with that paradigmatic trench run on the original Death Star, allowing players to start the game by re-enacting that seminal piece of cinema history and destroying the most powerful weapon in the galaxy. Where do you go from there? Well, from there, you get to engage in ten missions that take you right up to the run on the second Death Star at the end of Return of the Jedi. It’s like an enhanced remake of the original Rogue Squadron, extended to include all three of the original movies. That means it recreates the sights and sounds of the Star Wars universe with stunning fidelity, from the shriek of TIE Fighters to the vast dimensions of Imperial Star Destroyers. Development studio Factor 5 gained a reputation for industry-leading technical achievements throughout its history, and this represents some of its finest work. Though only ten missions are on offer, they pack pretty much everything in, from Hoth to Bespin; from womp rats to Nien Nunb. And there’s plenty of replay value, thanks to the same mission-ranking system as in the first game, allowing expert pilots to unlock five bonus levels, granting them the option to play as Darth Vader or pilot all sorts of secret vehicles, including Boba Fett’s space-snail, Slave I, and the sound designer’s Buick Electra 225. Perhaps the only disappointing aspect of Star Wars Rogue Squadron II: Rogue Leader is the rock-hard difficulty toward the end of the game, culminating in a final Death Star run that resembles the end of Star Wars on a dodgy DVD that keeps skipping at the end. But you already knew how it turns out, right?"
Star Wars: Knights of the Old Republic Original,2003,Various,BioWare,Role-Playing,"After the success of the Baldur’s Gate series, Canadian developer BioWare became one of the hottest properties in gaming. So when it turned its hand to one of the hottest intellectual properties in entertainment, it was a match made in heaven—or in a galaxy far, far away, at least. Star Wars: Knights of the Old Republic represented the first time the Star Wars universe had been turned into a role-playing video game (although not the first time it had been turned into a role-playing game in other media). Like the Baldur’s Gate games, Knights of the Old Republic is based on Wizards of the Coast’s pen-and-paper rules. Thus, freed from the demands of devising their own game mechanics, the experts at BioWare were given the opportunity to tinker with the characters and campaign setting—the most crucial parts of all the best RPGs. That campaign is far, far away in time as well as space, set some 4,000 years before the events depicted in the movies—another key design decision that granted the developer an extraordinary level of autonomy over George Lucas’s universe. This unprecedented freedom allowed BioWare to devise a narrative equal to the entire double trilogy of movies in terms of dramatic scope and complexity—complete with a plot twist every bit as revelatory as the moment when Darth Vader reveals Luke’s lineage. It also enabled it to create a new cast of characters, such as the Sith Lords Darth Malak and Darth Revan, both of whom rival their notorious descendants—Darths Vader and Maul—in terms of evil and menace. Above all, Star Wars: Knights of the Old Republic grants the players their own freedom—the ability to forge their own paths, choosing, by their actions, to ally themselves with the light side or the dark side of the Force."
Star Wars: Rogue Squadron Original,1998,"N64, PC ",Factor 5,Shoot ’Em Up,"The Death Star trench run is one of the earliest and most thrillingly memorable video game experiences, thanks to Atari’s 1983 vector-graphic coin-op classic. Fifteen years later, LucasArts enlisted Factor 5 to bring the attack on the Death Star back to life, along with Beggar’s Canyon, the Battle for Hoth, and a host of other encounters drawn from the rich history of the Star Wars universe. The result is one of the definitive video game versions of that universe. It follows on from the magisterial brilliance of the X-Wing and TIE Fighter series but tailors the experience for a console audience. For most of the game, it puts you in control of Luke Skywalker, sitting in the cockpit of his X-Wing—and A-Wing, Y-Wing, Snowspeeder, V-Wing, and, if you’re skilled enough to unlock them, the Millennium Falcon, TIE Interceptor, T-16 Skyhopper, AT-ST, and (just in time for its first appearance in the movies) the Naboo Starfighter. One of the things that the game gets so right is the way it fulfills the wishes of Star Wars fans, serving up items, vehicles, technology, planets, and people drawn from the farthest reaches of the galaxy, raking through twenty years of detail and exploring beyond the celluloid edges of George Lucas’s “lived-in” universe. Every chapter opens with the famous opening crawl and continues to recreate, precisely, the sights, sounds, and action of all the major battles between the end of A New Hope and the start of The Empire Strikes Back. Thanks to the Nintendo 64’s memory expansion pack, it also displays a higher resolution for the utmost graphical fidelity. More than anything, though, Star Wars: Rogue Squadron captures the feel and sensation of flying one of those Incom T-65s through a series of intense do-or-die dogfights. Saving the galaxy has never been so much fun."
